Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000040855	Reps2	X
ENSMUSG00000059461	Gm7331	X
ENSMUSG00000082007	Gm15206	X
ENSMUSG00000083963	Gm15203	X
ENSMUSG00002076833	Gm55016	X
ENSMUSG00002075276	Gm55017	X
ENSMUSG00000082571	Gm8737	X
ENSMUSG00000086034	Gm15201	X
ENSMUSG00002076423	Gm23786	X
ENSMUSG00000104536	Gm23786	X
ENSMUSG00000031201	Brcc3	X
ENSMUSG00000082208	Gm15379	X
ENSMUSG00000083093	Gm15385	X
ENSMUSG00000048709	Gm8666	X
ENSMUSG00000031154	Otud5	X
ENSMUSG00000031274	Col4a5	X
ENSMUSG00000031155	Pim2	X
ENSMUSG00000081217	Gm15268	X
ENSMUSG00000081803	Gm15282	X
ENSMUSG00000062949	Atp11c	X
ENSMUSG00000054667	Irs4	X
ENSMUSG00000086426	Gm15295	X
ENSMUSG00000119039	Gm22287	X
ENSMUSG00000070081	Mir505	X
ENSMUSG00000031197	Vbp1	X
ENSMUSG00000080775	Gm6368	X
ENSMUSG00000086573	Gm15384	X
ENSMUSG00000082291	Gm5762	X
ENSMUSG00000083026	Gm6373	X
ENSMUSG00000079583	Gm7073	X
ENSMUSG00000031202	Rab39b	X
ENSMUSG00000086937	Gm15063	X
ENSMUSG00000077406	Gm25421	X
ENSMUSG00000082551	Gm15065	X
ENSMUSG00000031353	Rbbp7	X
ENSMUSG00000081323	Rpl7l1-ps1	X
ENSMUSG00000087401	Gm14664	X
ENSMUSG00000081996	Gm7153	X
ENSMUSG00000118604	Gm53013	X
ENSMUSG00000042282	Gucy2f	X
ENSMUSG00000082675	Gm6382	X
ENSMUSG00000082890	Gm15014	X
ENSMUSG00000082092	Gm14665	X
ENSMUSG00000083343	Gm14666	X
ENSMUSG00000080910	Gm14821	X
ENSMUSG00000083158	Gm14655	X
ENSMUSG00000042271	Nxt2	X
ENSMUSG00000057615	Ldoc1	X
ENSMUSG00000050900	Gm7327	X
ENSMUSG00000083311	Gm5643	X
ENSMUSG00000082467	Gm6743	X
ENSMUSG00000090122	Kcne1l	X
ENSMUSG00000118848	Gm25412	X
ENSMUSG00000081409	Gm8215	X
ENSMUSG00000031156	Slc35a2	X
ENSMUSG00000083617	Gm5390	X
ENSMUSG00000082168	Gm14656	X
ENSMUSG00000083576	Gm16411	X
ENSMUSG00000045330	Magec2	X
ENSMUSG00000082125	Gm14679	X
ENSMUSG00000031194	4931400O07Rik	X
ENSMUSG00000085757	Tslrn1	X
ENSMUSG00000081001	Gm14678	X
ENSMUSG00000081765	Gm14677	X
ENSMUSG00000038344	Txlng	X
ENSMUSG00000081752	Sms-ps	X
ENSMUSG00000082620	Gm8244	X
ENSMUSG00000082965	Gm6754	X
ENSMUSG00000084022	Gm16459	X
ENSMUSG00000082539	Gm15207	X
ENSMUSG00000081269	Gm14659	X
ENSMUSG00000088195	Gm23901	X
ENSMUSG00000084396	Gm14657	X
ENSMUSG00000083346	Gm8260	X
ENSMUSG00000079579	Gm6760	X
ENSMUSG00000031357	Syap1	X
ENSMUSG00000092752	Mir3473a	X
ENSMUSG00000081917	Gm15209	X
ENSMUSG00000031179	Magea9	X
ENSMUSG00000046699	Slitrk4	X
ENSMUSG00000084459	Gm24598	X
ENSMUSG00000082269	Gm14676	X
ENSMUSG00000065903	Gm26111	X
ENSMUSG00000083084	Gm14667	X
ENSMUSG00000081514	Gm14673	X
ENSMUSG00000031181	Ctag2	X
ENSMUSG00000080828	Gm14669	X
ENSMUSG00000083074	Gm14670	X
ENSMUSG00000083243	Gm14668	X
ENSMUSG00000083570	Gm14671	X
ENSMUSG00000082863	Gm14674	X
ENSMUSG00000031182	4930447F04Rik	X
ENSMUSG00002075249	Gm55055	X
ENSMUSG00000036790	Slitrk2	X
ENSMUSG00000087708	Gm23000	X
ENSMUSG00000084074	Gm8310	X
ENSMUSG00000077127	Mir743	X
ENSMUSG00000119547	Mir743b	X
ENSMUSG00000031157	Pqbp1	X
ENSMUSG00000081603	Gm14681	X
ENSMUSG00000077092	Mir742	X
ENSMUSG00000078017	Mir883a	X
ENSMUSG00000078024	Mir883b	X
ENSMUSG00000070104	Mir471	X
ENSMUSG00000077119	Mir741	X
ENSMUSG00000070078	Mir463	X
ENSMUSG00000078002	Mir880	X
ENSMUSG00000077872	Mir878	X
ENSMUSG00000078038	Mir881	X
ENSMUSG00000119361	Mir871	X
ENSMUSG00000070073	Mir470	X
ENSMUSG00000106642	Mir465d	X
ENSMUSG00000119071	Mir465c-1	X
ENSMUSG00000016382	Pls3	X
ENSMUSG00000119524	Mir465b-1	X
ENSMUSG00000119436	Mir465c-2	X
ENSMUSG00000119887	Mir465b-2	X
ENSMUSG00000077650	Gm23320	X
ENSMUSG00000070071	Mir465	X
ENSMUSG00000080795	Gm6783	X
ENSMUSG00000081442	Gm14682	X
ENSMUSG00000081598	Gm8312	X
ENSMUSG00000086185	1700036O09Rik	X
ENSMUSG00000087724	Gm26276	X
ENSMUSG00000083010	Gm14687	X
ENSMUSG00000079578	Gm1140	X
ENSMUSG00000031158	Timm17b	X
ENSMUSG00000079577	Gm14692	X
ENSMUSG00000082621	Rpl7a-ps13	X
ENSMUSG00000025288	4933436I01Rik	X
ENSMUSG00000065404	Mir201	X
ENSMUSG00000076005	Mir547	X
ENSMUSG00000083709	Gm14688	X
ENSMUSG00000106233	Mir509	X
ENSMUSG00000082202	Gm4910	X
ENSMUSG00000083912	Gm5391	X
ENSMUSG00000082794	Gm6806	X
ENSMUSG00000088697	Gm22332	X
ENSMUSG00000073291	Gm10491	X
ENSMUSG00000082162	Gm14701	X
ENSMUSG00000073290	Gm10490	X
ENSMUSG00000081084	Gm5638	X
ENSMUSG00002075022	Gm55067	X
ENSMUSG00002075986	Gm55068	X
ENSMUSG00000039278	Pcsk1n	X
ENSMUSG00000031160	Eras	X
ENSMUSG00000025246	Tbl1x	X
ENSMUSG00002076902	Gm55070	X
ENSMUSG00000087152	Cldn34-ps	X
ENSMUSG00000081358	Gm14746	X
ENSMUSG00000082842	Gm14748	X
ENSMUSG00000081164	Gm8722	X
ENSMUSG00000035725	Prkx	X
ENSMUSG00000085973	Gm14742	X
ENSMUSG00000000003	Pbsn	X
ENSMUSG00000079522	Gm14744	X
ENSMUSG00000044121	5430402E10Rik	X
ENSMUSG00000082635	Gm14750	X
ENSMUSG00000081781	Gm14753	X
ENSMUSG00000080890	Gm16458	X
ENSMUSG00000067684	Obp1a	X
ENSMUSG00000031278	Acsl4	X
ENSMUSG00000079521	Gm5938	X
ENSMUSG00000067679	Obp1b	X
ENSMUSG00000082929	Gm6067	X
ENSMUSG00000071680	Gm7123	X
ENSMUSG00000081365	Gm15031	X
ENSMUSG00000077453	Gm25915	X
ENSMUSG00000079519	Gm14743	X
ENSMUSG00000081750	Gm4995	X
ENSMUSG00000083448	Gm8749	X
ENSMUSG00000081568	Gm15032	X
ENSMUSG00000035651	4930480E11Rik	X
ENSMUSG00000048600	Gm5763	X
ENSMUSG00000083927	Gm14749	X
ENSMUSG00000084019	Gm8754	X
ENSMUSG00000081881	Gm14752	X
ENSMUSG00000082865	Gm14745	X
ENSMUSG00000047996	Prrg1	X
ENSMUSG00002075818	Gm55085	X
ENSMUSG00000084125	Gm8757	X
ENSMUSG00000082664	Gm8761	X
ENSMUSG00000085610	Gm14747	X
ENSMUSG00000078315	Fam47c	X
ENSMUSG00000082912	Gm8770	X
ENSMUSG00000083258	Gm5939	X
ENSMUSG00002076278	Gm55091	X
ENSMUSG00000083067	Gm14751	X
ENSMUSG00000081049	Rps24-ps3	X
ENSMUSG00000073077	Cfap47	X
ENSMUSG00000031360	Ctps2	X
ENSMUSG00000046942	Mageb16	X
ENSMUSG00000082372	Gm4772	X
ENSMUSG00000080847	Gm4773	X
ENSMUSG00000081221	Gm14760	X
ENSMUSG00000047045	Tmem164	X
ENSMUSG00000082346	Gm6952	X
ENSMUSG00000076011	Mir652	X
ENSMUSG00000083444	Gm14768	X
ENSMUSG00000081463	Pou5f1-rs13	X
ENSMUSG00000040808	S100g	X
ENSMUSG00000081205	Gm5940	X
ENSMUSG00002076194	Gm55105	X
ENSMUSG00000118912	Gm22746	X
ENSMUSG00000083367	Gm8806	X
ENSMUSG00000083225	Gm15215	X
ENSMUSG00000084300	Gm6954	X
ENSMUSG00000082598	Gm15212	X
ENSMUSG00000083944	Gm14733	X
ENSMUSG00000082970	Gm15214	X
ENSMUSG00000089423	Gm26007	X
ENSMUSG00000080778	Gm7199	X
ENSMUSG00000042225	Ammecr1	X
ENSMUSG00002076851	Gm55106	X
ENSMUSG00000085584	Rtl9	X
ENSMUSG00000031364	Grpr	X
ENSMUSG00000083089	Gm4760	X
ENSMUSG00000083695	Rnf138rt1	X
ENSMUSG00000081699	Gm15213	X
ENSMUSG00000025666	Tmem47	X
ENSMUSG00000083637	Gm14754	X
ENSMUSG00000060673	4930595M18Rik	X
ENSMUSG00000082319	Actr3-ps	X
ENSMUSG00000083877	Gm14740	X
ENSMUSG00000082913	Gm14739	X
ENSMUSG00000077674	Gm24470	X
ENSMUSG00000083587	Gm14741	X
ENSMUSG00002076553	Gm55113	X
ENSMUSG00000031367	Ap1s2	X
ENSMUSG00000031161	Hdac6	X
ENSMUSG00000082054	Psmb6-ps	X
ENSMUSG00000031162	Gata1	X
ENSMUSG00000031163	Glod5	X
ENSMUSG00000083518	Gm9429	X
ENSMUSG00000080877	Rpl22-ps1	X
ENSMUSG00000082404	Gm14799	X
ENSMUSG00000031370	Zrsr2	X
ENSMUSG00000068243	Gm7079	X
ENSMUSG00000031373	Car5b	X
ENSMUSG00000031283	Chrdl1	X
ENSMUSG00000040749	Siah1b	X
ENSMUSG00000088047	Gm23325	X
ENSMUSG00000015401	Cltrn	X
ENSMUSG00002076347	Gm55127	X
ENSMUSG00000000838	Fmr1	X
ENSMUSG00000039231	Suv39h1	X
ENSMUSG00002076413	Gm55141	X
ENSMUSG00000031165	Was	X
ENSMUSG00002076242	Gm55142	X
ENSMUSG00000086404	Gm6787	X
ENSMUSG00000081042	Psmb7-ps2	X
ENSMUSG00000062170	Fmr1nb	X
ENSMUSG00000083046	Gm14699	X
ENSMUSG00000071748	Styx-ps	X
ENSMUSG00000056815	Gm6812	X
ENSMUSG00000082228	Gm8344	X
ENSMUSG00000065689	n-R5s7	X
ENSMUSG00000086676	Gm14705	X
ENSMUSG00000031189	Aff2	X
ENSMUSG00000045103	Dmd	X
ENSMUSG00000082926	Gm8172	X
ENSMUSG00000100511	1700111N16Rik	X
ENSMUSG00002076782	Gm55151	X
ENSMUSG00000059690	1700020N15Rik	X
ENSMUSG00000035522	Tsga8	X
ENSMUSG00000119338	Gm22580	X
ENSMUSG00000081583	Gm14769	X
ENSMUSG00000084281	Gm14770	X
ENSMUSG00000081379	Gm14771	X
ENSMUSG00000082139	Gm16463	X
ENSMUSG00000035491	Fthl17a	X
ENSMUSG00000083839	Gm14765	X
ENSMUSG00000035847	Ids	X
ENSMUSG00000035476	Tab3	X
ENSMUSG00002076546	Gm55155	X
ENSMUSG00000045237	Eola1	X
ENSMUSG00000073141	4930567H17Rik	X
ENSMUSG00000081199	Gm16407	X
ENSMUSG00000082538	Gm14704	X
ENSMUSG00000084193	Gm6823	X
ENSMUSG00000086989	Gm16441	X
ENSMUSG00000082770	Gm14722	X
ENSMUSG00000082713	Gm14721	X
ENSMUSG00000031166	Wdr13	X
ENSMUSG00000015405	Ace2	X
ENSMUSG00000073139	Tmem185a	X
ENSMUSG00000083747	Gm14727	X
ENSMUSG00000083784	Gm14729	X
ENSMUSG00000087325	Gm6038	X
ENSMUSG00000082336	Gm8401	X
ENSMUSG00000080843	Gm14726	X
ENSMUSG00000083119	Gm14724	X
ENSMUSG00000082652	Gm14725	X
ENSMUSG00000082083	Gm14728	X
ENSMUSG00000081464	Gm14732	X
ENSMUSG00000082822	Gm14731	X
ENSMUSG00000084185	Rplp1-ps1	X
ENSMUSG00000077275	Gm22785	X
ENSMUSG00000083406	Gm8410	X
ENSMUSG00000080938	Gm6062	X
ENSMUSG00000031377	Bmx	X
ENSMUSG00002075879	Gm55172	X
ENSMUSG00000059401	Mamld1	X
ENSMUSG00002076212	Gm55174	X
ENSMUSG00000082262	Gm14730	X
ENSMUSG00000031379	Pir	X
ENSMUSG00000077542	Gm22023	X
ENSMUSG00000031380	Vegfd	X
ENSMUSG00000031284	Pak3	X
ENSMUSG00000031381	Piga	X
ENSMUSG00000025059	Gk	X
ENSMUSG00000081933	Gm14767	X
ENSMUSG00000067276	Capn6	X
ENSMUSG00000087232	Gm14764	X
ENSMUSG00000084340	Gm14766	X
ENSMUSG00002075758	Gm55194	X
ENSMUSG00000081212	Gm6964	X
ENSMUSG00000081452	Gm14761	X
ENSMUSG00000078314	Gm14762	X
ENSMUSG00000031167	Rbm3	X
ENSMUSG00000025058	Tasl	X
ENSMUSG00000080266	Gm14772	X
ENSMUSG00000031382	Asb11	X
ENSMUSG00000081931	Gm15211	X
ENSMUSG00000035454	Samt3	X
ENSMUSG00000055188	Rbm3os	X
ENSMUSG00000025056	Nr0b1	X
ENSMUSG00000031384	Asb9	X
ENSMUSG00000080834	Gm15216	X
ENSMUSG00000035427	Mageb4	X
ENSMUSG00000083830	Gm8839	X
ENSMUSG00000082033	Mageb10-ps	X
ENSMUSG00000082461	Gm8844	X
ENSMUSG00000083977	Mageb8-ps	X
ENSMUSG00000080069	Gm41	X
ENSMUSG00000085577	Mageb6-ps	X
ENSMUSG00000118598	Gm18438	X
ENSMUSG00000082450	Mageb7-ps	X
ENSMUSG00002075969	Gm55202	X
ENSMUSG00000039201	Tbc1d25	X
ENSMUSG00000052372	Il1rapl1	X
ENSMUSG00000083779	Gm14775	X
ENSMUSG00000084029	Gm8855	X
ENSMUSG00000083421	Gm14776	X
ENSMUSG00000093056	Gm24812	X
ENSMUSG00000081424	Gm14774	X
ENSMUSG00000065747	Gm25006	X
ENSMUSG00000081877	Gm8858	X
ENSMUSG00000082595	Gm14793	X
ENSMUSG00000081892	Gm8864	X
ENSMUSG00000083058	Gm14795	X
ENSMUSG00000084355	Gm14792	X
ENSMUSG00000086142	Ppp4r3c-ps	X
ENSMUSG00000081673	Gm14794	X
ENSMUSG00000031168	Ebp	X
ENSMUSG00000083640	Gm8876	X
ENSMUSG00000097961	Gm27000	X
ENSMUSG00000084559	Mir1906-2	X
ENSMUSG00002075639	Gm55207	X
ENSMUSG00000082847	Gm5759	X
ENSMUSG00000081167	Gm8880	X
ENSMUSG00000084060	Gm16412	X
ENSMUSG00000082311	Gm14791	X
ENSMUSG00000081458	Gm14796	X
ENSMUSG00000081033	Gm14797	X
ENSMUSG00000083923	Gm649	X
ENSMUSG00000118508	Gm18439	X
ENSMUSG00000083597	Gm14805	X
ENSMUSG00000061778	Mospd2	X
ENSMUSG00000035395	Dcaf8l	X
ENSMUSG00000031285	Dcx	X
ENSMUSG00000081628	Gm14804	X
ENSMUSG00000082422	Gm6973	X
ENSMUSG00000082060	Gm15048	X
ENSMUSG00000079513	4932429P05Rik	X
ENSMUSG00000083253	Gm7108	X
ENSMUSG00002076120	Gm55222	X
ENSMUSG00000085139	A730046J19Rik	X
ENSMUSG00000100506	Nanog-ps1	X
ENSMUSG00000082121	Gm8199	X
ENSMUSG00000084361	Gm8202	X
ENSMUSG00000035387	4930415L06Rik	X
ENSMUSG00000081897	Gm15067	X
ENSMUSG00000083508	Gm6027	X
ENSMUSG00000082479	Gm4746	X
ENSMUSG00000083200	Gm15066	X
ENSMUSG00000084289	Fth1-ps	X
ENSMUSG00000119616	Mir680-2	X
ENSMUSG00000091497	Mageb11	X
ENSMUSG00000059972	Gm14773	X
ENSMUSG00002076114	Gm55223	X
ENSMUSG00000082832	Gm14786	X
ENSMUSG00000080765	Gm8908	X
ENSMUSG00000081235	Gm14788	X
ENSMUSG00000073069	Mageb2	X
ENSMUSG00000083926	Gm14783	X
ENSMUSG00000047757	Fancb	X
ENSMUSG00000094861	Mageb6b1	X
ENSMUSG00000079600	Gm17604	X
ENSMUSG00000096072	Mageb6b2	X
ENSMUSG00000080863	Gm14787	X
ENSMUSG00000084057	Gm8916	X
ENSMUSG00000083955	Gm14785	X
ENSMUSG00000057805	1700084M14Rik	X
ENSMUSG00000081960	Mageb17-ps	X
ENSMUSG00000064129	Mageb5b	X
ENSMUSG00000018589	Glra2	X
ENSMUSG00000082134	Gm15236	X
ENSMUSG00000031337	Mtm1	X
ENSMUSG00000061392	Mageb5	X
ENSMUSG00000119728	Gm22062	X
ENSMUSG00000082807	Gm14782	X
ENSMUSG00000081012	Gm15224	X
ENSMUSG00000084155	Gm7113	X
ENSMUSG00000083466	Gm15225	X
ENSMUSG00000083994	Gm16465	X
ENSMUSG00000078123	Gm5071	X
ENSMUSG00000084269	Gm14784	X
ENSMUSG00000062162	Mageb1	X
ENSMUSG00000081743	Gm4911	X
ENSMUSG00000083701	Gm4912	X
ENSMUSG00000067649	Mageb18	X
ENSMUSG00000080155	Gm14777	X
ENSMUSG00000071726	Gm5941	X
ENSMUSG00000080737	Gm6982	X
ENSMUSG00000119580	Gm25332	X
ENSMUSG00002075630	Gm55240	X
ENSMUSG00000095110	1700003E24Rik	X
ENSMUSG00000077294	Gm24123	X
ENSMUSG00000096153	BC061195	X
ENSMUSG00000065266	Gm23454	X
ENSMUSG00000040621	Gemin8	X
ENSMUSG00000084080	Gm15227	X
ENSMUSG00000035277	Arx	X
ENSMUSG00000006678	Pola1	X
ENSMUSG00000083207	Gm14780	X
ENSMUSG00000088445	Gm23557	X
ENSMUSG00000087255	Gm6985	X
ENSMUSG00000041718	Alg13	X
ENSMUSG00000080922	Gm2214	X
ENSMUSG00000015214	Mtmr1	X
ENSMUSG00000041710	Trpc5	X
ENSMUSG00000072934	Trpc5os	X
ENSMUSG00000081635	Gm15071	X
ENSMUSG00000082106	Mageb16-ps1	X
ENSMUSG00000035246	Pcyt1b	X
ENSMUSG00000071679	Rtl4	X
ENSMUSG00002075843	Gm55251	X
ENSMUSG00000084303	Gm8216	X
ENSMUSG00000118971	Mir3472	X
ENSMUSG00000077230	Gm25097	X
ENSMUSG00000081336	Gm15073	X
ENSMUSG00000082085	Gm6441	X
ENSMUSG00000041700	Lhfpl1	X
ENSMUSG00000035232	Pdk3	X
ENSMUSG00000082728	Supt20-ps	X
ENSMUSG00000081573	Gm15164	X
ENSMUSG00000031169	Porcn	X
ENSMUSG00000081044	AU015836	X
ENSMUSG00000083114	Gm14790	X
ENSMUSG00000080995	Gm15165	X
ENSMUSG00000081055	Gm6987	X
ENSMUSG00000087640	Gm14798	X
ENSMUSG00000079509	Zfx	X
ENSMUSG00000041688	Amot	X
ENSMUSG00000100104	Gm5644	X
ENSMUSG00000081646	Gm15060	X
ENSMUSG00002076163	Gm55263	X
ENSMUSG00000082773	Gm15058	X
ENSMUSG00000080915	Gm6446	X
ENSMUSG00000083375	Gm15057	X
ENSMUSG00000083908	Gm6447	X
ENSMUSG00000080755	Gm15062	X
ENSMUSG00000083960	Gm4918	X
ENSMUSG00000081738	Hmgb1-ps2	X
ENSMUSG00000035776	Cd99l2	X
ENSMUSG00000085284	Gm16189	X
ENSMUSG00000084114	Gm8421	X
ENSMUSG00002075390	Gm55267	X
ENSMUSG00000031171	Ftsj1	X
ENSMUSG00000035150	Eif2s3x	X
ENSMUSG00000015217	Hmgb3	X
ENSMUSG00000043929	Klhl15	X
ENSMUSG00000099072	Mir7673	X
ENSMUSG00000080923	Gm5400	X
ENSMUSG00000082759	Gm14826	X
ENSMUSG00000084214	Gm14825	X
ENSMUSG00000118554	Fam90a1b	X
ENSMUSG00000043549	Fam90a1b	X
ENSMUSG00000031170	Slc38a5	X
ENSMUSG00000068219	Ssxb10	X
ENSMUSG00000068218	Ssxb9	X
ENSMUSG00000079705	Ssxb1	X
ENSMUSG00000023165	Ssxb2	X
ENSMUSG00000031342	Gpm6b	X
ENSMUSG00000079704	Gm14459	X
ENSMUSG00000079702	Ssxb6	X
ENSMUSG00000079508	Apoo	X
ENSMUSG00000040586	Ofd1	X
ENSMUSG00002076027	Gm55308	X
ENSMUSG00000084007	Gm9003	X
ENSMUSG00000084904	Gm14827	X
ENSMUSG00000118620	Gm53011	X
ENSMUSG00000084450	Gm24595	X
ENSMUSG00000079701	Ssxb3	X
ENSMUSG00000080897	Gm14500	X
ENSMUSG00000081410	Gm6797	X
ENSMUSG00000082496	Gm6798	X
ENSMUSG00000082458	Gm9430	X
ENSMUSG00000079317	Trappc2	X
ENSMUSG00000079703	Ssxb8	X
ENSMUSG00000035371	Ssx9	X
ENSMUSG00000071816	Ssxb5	X
ENSMUSG00000082129	Gm14502	X
ENSMUSG00000079316	Rab9	X
ENSMUSG00000079699	Gm6592	X
ENSMUSG00000085880	Gm15229	X
ENSMUSG00000081875	Gm15223	X
ENSMUSG00000079697	Gm5751	X
ENSMUSG00000052364	B630019K06Rik	X
ENSMUSG00000082198	Gm14504	X
ENSMUSG00000051224	Tceanc	X
ENSMUSG00000081381	Gm5752	X
ENSMUSG00000083871	Gm16479	X
ENSMUSG00000080051	Gm14510	X
ENSMUSG00000078208	Fthl17b	X
ENSMUSG00000081020	Gm14509	X
ENSMUSG00000060685	Fthl17c	X
ENSMUSG00000087584	Gm14457	X
ENSMUSG00000078206	Fthl17d	X
ENSMUSG00000025151	Maged1	X
ENSMUSG00000083468	Gm9431	X
ENSMUSG00000082222	Gm14865	X
ENSMUSG00000071815	Fthl17e	X
ENSMUSG00000086518	Gm14503	X
ENSMUSG00000081796	Gm9005	X
ENSMUSG00000083714	Fthl17-ps1	X
ENSMUSG00000080887	Gm14831	X
ENSMUSG00000000402	Egfl6	X
ENSMUSG00000080050	Gm14864	X
ENSMUSG00000082406	Gm5401	X
ENSMUSG00000080952	Gm5379	X
ENSMUSG00000087677	Gm15226	X
ENSMUSG00000080974	Gm9009	X
ENSMUSG00000072249	Fthl17f	X
ENSMUSG00000081959	Gm16480	X
ENSMUSG00000083123	Fthl17-ps2	X
ENSMUSG00000086860	Gm1720	X
ENSMUSG00000045797	4930402K13Rik	X
ENSMUSG00000067147	Rpl7a-ps11	X
ENSMUSG00000087021	Fthl17-ps3	X
ENSMUSG00000071723	Gspt2	X
ENSMUSG00000083438	Gm5402	X
ENSMUSG00000084920	Gm15230	X
ENSMUSG00000082019	Gm15231	X
ENSMUSG00002075445	Gm55322	X
ENSMUSG00000073062	Zxdb	X
ENSMUSG00002075112	Gm55323	X
ENSMUSG00000082360	Gm8814	X
ENSMUSG00000109459	Gm39526	X
ENSMUSG00000082776	Gm7061	X
ENSMUSG00000047344	Lancl3	X
ENSMUSG00000081418	Gm14830	X
ENSMUSG00000082964	Rpl13-ps5	X
ENSMUSG00000079694	Gm14862	X
ENSMUSG00000073060	Zxda	X
ENSMUSG00000087522	Gm371	X
ENSMUSG00000015342	Xk	X
ENSMUSG00000086008	Gm8817	X
ENSMUSG00000100200	H2al1m	X
ENSMUSG00000065155	Gm25481	X
ENSMUSG00000071722	Spin4	X
ENSMUSG00000083670	Gm6829	X
ENSMUSG00000087340	Gm15228	X
ENSMUSG00000083608	Gm14863	X
ENSMUSG00000100448	H2al1k	X
ENSMUSG00000049775	Tmsb4x	X
ENSMUSG00000040522	Tlr8	X
ENSMUSG00000015340	Cybb	X
ENSMUSG00000077713	Gm25728	X
ENSMUSG00000061065	H2al1o	X
ENSMUSG00000044583	Tlr7	X
ENSMUSG00000118573	Gm52997	X
ENSMUSG00000025742	Prps2	X
ENSMUSG00000031176	Dynlt3	X
ENSMUSG00000086258	Gm15239	X
ENSMUSG00000088451	Gm26368	X
ENSMUSG00000081216	Gm6744	X
ENSMUSG00000040456	H2ap	X
ENSMUSG00000048994	H2al3	X
ENSMUSG00000054453	Sytl5	X
ENSMUSG00000081898	Gm5754	X
ENSMUSG00000049176	Frmpd4	X
ENSMUSG00000084378	Gm15238	X
ENSMUSG00000090084	Srpx	X
ENSMUSG00002075504	Gm55333	X
ENSMUSG00000082915	Gm15240	X
ENSMUSG00000084180	Gm15237	X
ENSMUSG00000083611	Gm8832	X
ENSMUSG00000084014	Gm7209	X
ENSMUSG00002075674	Gm55334	X
ENSMUSG00000031358	Msl3	X
ENSMUSG00000081500	Gm15233	X
ENSMUSG00000031355	Arhgap6	X
ENSMUSG00000087201	Gm15261	X
ENSMUSG00000031354	Amelx	X
ENSMUSG00000031352	Hccs	X
ENSMUSG00002076929	Gm55349	X
ENSMUSG00000087159	Gm15246	X
ENSMUSG00000081137	BC022960	X
ENSMUSG00000087587	Gm15245	X
ENSMUSG00000025656	Arhgef9	X
ENSMUSG00000031174	Rpgr	X
ENSMUSG00000083789	Gm6092	X
ENSMUSG00000080298	Gm14807	X
ENSMUSG00000082371	Gm3712	X
ENSMUSG00000080283	Gm14806	X
ENSMUSG00000050332	Amer1	X
ENSMUSG00000031173	Otc	X
ENSMUSG00000086996	4933416E14Rik	X
ENSMUSG00000031204	Asb12	X
ENSMUSG00000109858	Pfn5	X
ENSMUSG00000058254	Tspan7	X
ENSMUSG00002076115	Gm55381	X
ENSMUSG00000068200	Gm5931	X
ENSMUSG00000083262	Gm14470	X
ENSMUSG00000081308	Gm14480	X
ENSMUSG00000008035	Mid1ip1	X
ENSMUSG00000085587	Gm14493	X
ENSMUSG00000081680	Gm14473	X
ENSMUSG00000083419	Gm14485	X
ENSMUSG00000080948	Gm14481	X
ENSMUSG00000100626	H2al1a	X
ENSMUSG00000101819	H2al1b	X
ENSMUSG00000096097	H2al1c	X
ENSMUSG00000094904	H2al1d	X
ENSMUSG00000095413	H2al1e	X
ENSMUSG00000095655	H2al1f	X
ENSMUSG00000095662	H2al1g	X
ENSMUSG00000099443	H2al1h	X
ENSMUSG00000095445	H2al1i	X
ENSMUSG00000069038	H2al1j	X
ENSMUSG00000083492	Gm14515	X
ENSMUSG00000080811	Gm14513	X
ENSMUSG00000065825	Gm26314	X
ENSMUSG00000035045	Zc3h12b	X
ENSMUSG00000082146	Rpl23a-ps13	X
ENSMUSG00000083439	Gm14491	X
ENSMUSG00000081947	Gm14512	X
ENSMUSG00000035299	Mid1	X
ENSMUSG00000065716	Gm25651	X
ENSMUSG00000055357	4933400A11Rik	X
ENSMUSG00000072844	G530011O06Rik	X
ENSMUSG00000087263	Gm15726	X
ENSMUSG00000086695	Gm15247	X
ENSMUSG00000094276	Gm15068	X
ENSMUSG00000057421	Las1l	X
ENSMUSG00000031207	Msn	X
ENSMUSG00000088146	Gm24718	X
ENSMUSG00000081848	Gm14925	X
ENSMUSG00000081742	Gm9051	X
ENSMUSG00000076066	Mir223	X
ENSMUSG00000044206	Vsig4	X
ENSMUSG00000045802	Hsf3	X
ENSMUSG00000082317	Gm14933	X
ENSMUSG00000040363	Bcor	X
ENSMUSG00000083486	Gm14521	X
ENSMUSG00000087591	Gm14635	X
ENSMUSG00000081461	Rpl30-ps11	X
ENSMUSG00000031007	Atp6ap2	X
ENSMUSG00000083199	Gm9432	X
ENSMUSG00000079871	Gm4984	X
ENSMUSG00000044148	1810030O07Rik	X
ENSMUSG00000086473	Gm16265	X
ENSMUSG00000031209	Heph	X
ENSMUSG00000082035	Rpl17-ps8	X
ENSMUSG00000081182	Gm14935	X
ENSMUSG00000031210	Gpr165	X
ENSMUSG00000064127	Med14	X
ENSMUSG00000082735	Gm16394	X
ENSMUSG00000082397	Gm14803	X
ENSMUSG00000081606	Gm9059	X
ENSMUSG00000083350	Gm9060	X
ENSMUSG00000085891	Gm14634	X
ENSMUSG00000031212	Pgr15l	X
ENSMUSG00002075977	Gm55412	X
ENSMUSG00000083760	Gm14524	X
ENSMUSG00000081135	Gm14800	X
ENSMUSG00000083307	AA414768	X
ENSMUSG00000083751	Gm14534	X
